BMP,Itens,apartamento,situacao,data_cadastro,ultimo_comentario,data_ultima_inspecao,data_atualizacao
2308266,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308267,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308268,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308269,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308270,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308271,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308272,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308273,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308274,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308275,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
2308276,Refrigerador Branco 2 Porta - Frost Free - Smartsensor 347l - 127v,,,,,,
709254,Guarda Sol Zm Gold (SISPAT: 55947006 - FCG: 55947),,,,,,
709256,Guarda Sol Zm Gold (SISPAT: 55947007 - FCG: 55947),,,,,,
709270,Guarda Sol Zm Gold (SISPAT: 55947009 - FCG: 55947),,,,,,
709272,Guarda Sol Zm Gold (SISPAT: 55947010 - FCG: 55947),,,,,,
709273,Pe De Sol Branco (SISPAT: 55948001 - FCG: 55948),,,,,,
709275,Pe De Sol Branco (SISPAT: 55948002 - FCG: 55948),,,,,,
709277,Pe De Sol Branco (SISPAT: 55948003 - FCG: 55948),,,,,,
